Matrices	Avg Time (ms)	
50		0.793677
60		0.937926
70		1.06685
80		1.65666
90		2.35321
100		3.09987
110		4.93528
120		8.6275
130		10.7057
140		13.4376
150		18.7779
160		12.9243
170		21.797
180		18.5969
190		22.5721
200		24.7595
210		31.9758
220		32.1402
230		36.3952
240		41.3426
250		46.9972
260		55.0695
270		62.2943
280		66.2423
290		75.7478
300		102.7
310		92.4189
320		97.0054
330		110.604
340		116.956
350		135.051
360		136.91
370		153.801
380		170.221
390		186.613
400		193.381
410		206.918
420		224.552
430		253.633
440		257.557
450		274.319
460		295.636
470		317.935
480		329.43
490		355.94
500		381.165
