Vertices	Time (ms)
50		8.36
60		9.48
70		12.37
80		15.48
90		18.66
100		22.53
110		27.22
120		36.77
130		37.43
140		43.14
150		52.02
160		55.89
170		64.9
180		69.41
190		77.45
200		86.85
210		103.06
220		102.7
230		113.94
240		126.67
250		139.8
260		146.28
270		155.26
280		214.6
290		302.08
300		334.99
310		349.62
320		327.89
330		228.12
340		243.49
350		253.75
360		366.47
370		534.43
380		605.33
390		565.6
400		593.22
410		631.76
420		629.7
430		385.38
440		436.77
450		413.18
460		427.64
470		448.85
480		471.27
490		481.09
500		501.53
510		762.34
520		543.5
530		569.6
540		595.82
550		620.71
560		695.77
570		653.09
580		704.53
590		1006.49
600		755.67
610		743.23
620		778.38
630		803.66
640		834.68
650		847.62
660		873.73
670		889.46
680		955.68
690		958.79
700		974.46
710		1030.82
720		1100.21
730		1065.04
740		1451.74
750		1278.38
760		1287.81
770		1420.33
780		1229.29
790		1305.27
800		2244.34
810		1345.09
820		1322.33
830		1359.7
840		1587.78
850		1426.17
860		1495.41
870		1481.46
880		1871.62
890		1543.36
900		1579.98
910		1616.3
920		1684.94
930		1679.88
940		1759.9
950		1755.35
960		1795.97
970		2193.96
980		1884.34
990		2128.06
1000		2014.06
1010		2016.87
1020		2096.64
1030		2090.75
1040		2135.9
1050		2427.97
1060		2510.37
1070		2624.49
1080		2489.11
1090		2500.15
1100		2411.4
1110		2420.65
1120		2425.6
1130		2502.19
1140		2565.06
1150		2544.09
1160		2813.16
1170		2724.81
1180		2891.03
1190		2761.92
1200		2782.24
1210		2891.06
1220		2877.48
1230		3135.74
1240		2962.9
1250		4461.65
1260		3406.75
1270		3185.07
1280		3163.43
1290		3490.09
1300		3279.13
1310		3281.7
1320		3324.64
1330		3707.48
1340		3452.83
1350		3770.46
1360		3600.01
1370		3600.47
1380		3799.8
1390		3702.16
1400		4549.02
1410		4048.33
1420		3842.56
1430		3925.59
1440		4657.57
1450		4486.32
1460		4055.75
1470		4123.98
1480		4213.09
1490		4216.9
1500		4475.46
1510		5395.22
1520		4923.62
1530		4745.68
1540		4821.12
1550		4549.38
1560		4936.49
1570		4668.78
1580		5010.92
1590		4788.4
1600		5005.29
1610		4902.57
1620		5384.42
1630		5610.6
1640		5125.72
1650		5144.2
1660		5698.08
1670		5287.27
1680		5365.24
1690		5673.39
1700		6597.03
1710		5662.82
1720		5994.71
1730		5957.73
1740		6929.68
1750		5786.75
1760		6104.73
1770		6037.67
1780		6105.13
1790		6302.57
1800		6104.56
1810		6876.64
1820		6867.24
1830		6369.38
1840		6410.4
1850		6734.98
1860		7815.84
1870		6619.49
1880		7083.61
1890		7462.41
1900		6801.64
1910		7364.17
1920		7063.86
1930		7511.54
1940		7100.05
1950		7178.55
1960		8604.43
1970		7367.08
1980		7378.94
1990		8821.26
2000		7577.15
