Vertices	Time (ms)
50		127.64
60		140
70		161.87
80		321.77
90		250.24
100		234.52
110		248.09
120		286.51
130		612.86
140		648.93
150		510.89
160		363.87
170		393.07
180		799.83
190		843.55
200		903.07
210		937.24
220		874.19
230		624.65
240		541.92
250		710.91
260		618.67
270		805.12
280		661.42
290		691.53
300		785.6
310		966.31
320		759.32
330		764.4
340		848.33
350		979.76
360		964.71
370		905.21
380		877.17
390		928.25
400		1090.63
410		950.43
420		1028.73
430		1010.57
440		1225.13
450		1334.3
460		1339.01
470		1200.35
480		1138.89
490		1161.38
500		1557.19
510		2120.56
520		1305.79
530		1444.18
540		1231.31
550		1297.35
560		1625.67
570		1381.49
580		1535.87
590		1611.1
600		1679.34
610		1409.95
620		1430.4
630		1482.74
640		1848.87
650		1472.33
660		1826.18
670		1549.04
680		1590.83
690		1610.19
700		1664.51
710		1650.08
720		1804.05
730		1838.83
740		1972.88
750		1781.35
760		2156.58
770		2348.19
780		1811.97
790		1830.88
800		1951.67
810		1871.69
820		1956.9
830		2260.02
840		1958.35
850		2075.79
860		2604.72
870		2456.85
880		2332.37
890		2083.14
900		2110.52
910		2089.74
920		2419.05
930		2263.77
940		2339.12
950		2459.24
960		2561.66
970		2438.75
980		2337.69
990		2685.69
1000		2784.16
1010		2336.38
1020		2640.12
1030		3558.66
1040		2733.66
1050		2547.31
1060		2475.44
1070		2560.24
1080		3153.28
1090		3071.75
1100		2861.13
1110		2917.41
1120		2658.35
1130		2675.83
1140		2667.66
1150		3203.21
1160		2792.21
1170		3512.99
1180		3083.32
1190		2878.3
1200		2831.89
1210		2923.43
1220		3118.24
1230		2958.95
1240		3325.07
1250		3232.74
1260		3545.18
1270		3329.28
1280		3351.25
1290		3178.19
1300		3442.72
1310		3702.29
1320		3557.45
1330		3316.71
1340		3604.95
1350		4514.11
1360		3527.59
1370		3311.61
1380		3277.99
1390		4447.93
1400		3446.84
1410		4177.2
1420		4017.33
1430		3441.03
1440		3699.97
1450		3859.03
1460		4125.14
1470		3912.49
1480		3578.77
1490		3600.16
1500		4025.78
1510		3665.41
1520		4304.12
1530		3778.71
1540		3702.5
1550		4625.31
1560		4103.92
1570		4672.67
1580		4384.59
1590		3852.88
1600		4338.2
1610		5052.61
1620		4300.14
1630		4016.34
1640		4085.89
1650		4337.2
1660		4429.06
1670		4650.12
1680		4763.79
1690		4847.13
1700		4584.13
1710		4568.78
1720		4231.88
1730		4279.28
1740		4532.34
1750		4903.69
1760		4345.06
1770		5256.43
1780		4655.35
1790		6085.96
1800		4988.43
1810		4544.76
1820		5843.96
1830		5244.89
1840		4580.73
1850		4667.7
1860		4895.14
1870		4970.95
1880		5127.69
1890		5139.94
1900		5953.73
1910		5379.21
1920		4790
1930		4906.74
1940		5164.98
1950		5529.97
1960		4864.11
1970		5036.64
1980		5477.39
1990		6411.7
2000		5522.56
