Vertices	Time(ms)
50		23.3
100		88.79
150		183.52
200		328.66
250		540.05
300		750.3
350		1043.73
400		1268.28
450		1907.41
500		2085.29
550		2774.68
600		3000.26
650		3280.96
700		3796.01
750		4275.29
800		5235.1
850		5719.95
900		6452.58
950		6917.31
1000		7749.64
1050		9093.75
1100		10364.3
1150		10235.7
1200		11625.4
1250		11965.2
1300		13750.1
1350		14211
1400		15095.1
1450		16696.4
1500		18508.5
1550		18781.5
1600		20469.5
1650		21159.8
1700		22189.9
1750		25593.4
1800		25048.7
1850		27166
1900		28769.6
1950		31462.2
2000		31894.5
2050		32446.2
2100		35773.9
2150		35880.6
2200		38293.3
2250		39895.8
2300		41477.9
2350		43978.9
2400		44259.7
2450		47911.4
2500		49072.8
