Vertices	Time(ms)
50		23.3
100		91.51
150		189.35
200		335.09
250		604.12
300		728.28
350		1091.6
400		1312.13
450		1608.77
500		2018.41
550		2577.52
600		2885.19
650		3488.8
700		3882.49
750		4395.52
800		4904.1
850		5594.87
900		6579.06
950		9388.8
1000		7832.67
1050		8475.28
1100		9566.44
1150		10349.1
1200		12369.2
1250		12502.5
1300		13117.5
1350		14291.2
1400		17027.7
1450		16205.3
1500		17712
1550		19779.3
1600		19590.8
1650		22469.7
1700		22840.3
1750		24051.5
1800		25893.6
1850		27741
1900		28483
1950		30637.4
2000		31478.8
2050		34214.5
2100		34618.7
2150		36527.3
2200		38749.7
2250		39497.5
2300		42682.5
2350		43623.7
2400		46135
2450		47518.6
2500		49949.6
2550		50770.5
2600		53501.6
2650		56611.6
